original_text,name,name_confidence,amount,amount_text,unit,amount_confidence,preparation,preparation_confidence,recipe_title,recipe_category,likely_sub_category_1,likely_sub_category_1_score,main_category_1,likely_sub_category_2,likely_sub_category_2_score,main_category_2,likely_sub_category_3,likely_sub_category_3_score,main_category_3
2 tablespoons peeled and minced TJ’s Organic Fresh Ginger,Organic Fresh Ginger,0.99902,2.0,2 tablespoons,tablespoon,0.999453,peeled and minced,0.999712,Double Peanut Stew,Dinner,Fresh,0.5803654789924622,Unknown,Fresh Vegetables,0.09430743008852,Unknown,Spices,0.0331467501819133,For the Pantry
2 tablespoons minced TJ’s Garlic,Garlic,0.987899,2.0,2 tablespoons,tablespoon,0.999809,minced,0.991285,Double Peanut Stew,Dinner,Fresh,0.2446934133768081,Unknown,Spices,0.1264908462762832,For the Pantry,Fresh Vegetables,0.0778389796614646,Unknown
"½ cup TJ’s Half Salt Peanuts, chopped",Half Salt Peanuts,0.992964,0.5,1/2 cups,cup,0.99996,chopped,0.998368,Double Peanut Stew,Dinner,Fresh,0.5265249013900757,Unknown,"Nuts, Dried Fruits, Seeds",0.052724190056324,Snacks & Sweets,Bakery,0.0267771612852811,Unknown
"¼ cup TJ’s Freeze Dried Strawberries, crushed",Freeze Dried Strawberries,0.998709,0.25,1/4 cups,cup,0.999931,crushed,0.99791,Teatime Madeleines,Desserts,Fresh,0.139799878001213,Unknown,Shellfish,0.0576980598270893,Unknown,Fresh Fruits,0.0541926734149456,Unknown
¼ cup TJ’s Dry Roasted & Salted Pistachio Nutmeats finely chopped,Dry Roasted & Salted Pistachio Nutmeats,0.956223,0.25,1/4 cups,cup,0.999954,finely chopped,0.676435,Teatime Madeleines,Desserts,Fresh,0.1308759301900863,Unknown,Cooked or Processed,0.1029899790883064,Unknown,Smoked or Processed,0.0688049718737602,Unknown
"4 cloves TJ’s Garlic, peeled and finely chopped",Garlic,0.986108,4.0,4 cloves,cloves,0.993766,peeled and finely chopped,0.999762,Full of Fusilli Veggie Soup,Dinner & Lunch,Fresh,0.2446934133768081,Unknown,Spices,0.1264908462762832,For the Pantry,Fresh Vegetables,0.0778389796614646,Unknown
"3 stalks TJ’s Celery, medium chopped",Celery,0.985987,3.0,3 stalks,stalks,0.995603,chopped,0.997925,Full of Fusilli Veggie Soup,Dinner & Lunch,Yogurt,0.1292772889137268,Dairy & Eggs,Fresh,0.1224491447210311,Unknown,Entrées & Center of Plate,0.0766093656420707,Fresh Prepared Foods
"½ jar TJ’s Fire Roasted Bell Peppers, drained and medium chopped",Fire Roasted Bell Peppers,0.998287,0.5,1/2 jars,jars,0.999862,drained and medium chopped,0.9995,Full of Fusilli Veggie Soup,Dinner & Lunch,Fresh,0.5228803753852844,Unknown,Refrigerated Dough,0.0385108664631843,Unknown,Smoked or Processed,0.0374099537730217,Unknown
"2 sticks TJ’s Unsalted Butter, room temperature",Unsalted Butter,0.99593,2.0,2 sticks,sticks,0.999664,room temperature,0.998155,Hemp Seed Cookies,Desserts,Refrigerated Dough,0.1853353530168533,Unknown,"Slices, Shreds, Crumbles",0.0898168459534645,Cheese,Fresh,0.0844857990741729,Unknown
"2 cups TJ’s Calrose Rice, cooked according to package instructions",Calrose Rice,0.995658,2.0,2 cups,cup,0.999964,cooked according to package instructions,0.997753,Smoked Salmon Poke-Style Bowl (The Follow Through),Dinner & Lunch,Fresh Vegetables,0.1216091960668563,Unknown,Fresh Fruits,0.078883096575737,Unknown,Fresh,0.0732912272214889,Unknown
"4 sheets Organic TJ’s Roasted Seaweed, cut into bite-size strips",Organic Roasted Seaweed,0.995866,4.0,4 sheets,sheets,0.999712,cut into bite-size strips,0.999771,Smoked Salmon Poke-Style Bowl (The Follow Through),Dinner & Lunch,Fresh,0.2486878186464309,Unknown,Shellfish,0.2001629471778869,Unknown,Smoked or Processed,0.0552997551858425,Unknown
"2 cups TJ’s Organic White Quinoa, cooked according to the package instruction",Organic White Quinoa,0.998266,2.0,2 cups,cup,0.999949,cooked according to the package instruction,0.963135,Green Goddess Veggie Bowl (The Hook),Dinner & Lunch,Fresh,0.2803647518157959,Unknown,Smoked or Processed,0.0728322342038154,Unknown,"Slices, Shreds, Crumbles",0.0656754970550537,Cheese
"1 cup TJ’s Jumbo Pitted Greek Kalamata Olives, drained and halved lengthwise",Jumbo Pitted Greek Kalamata Olives,0.999551,1.0,1 cup,cup,0.999951,drained and halved lengthwise,0.999418,Olive Bar Dip,Appetizers & Sides,Cream and Creamy Cheeses,0.1751376390457153,Cheese,Fresh,0.1204294562339782,Unknown,"Slices, Shreds, Crumbles",0.1089382693171501,Cheese
"1 cup Spanish Manzanilla with Pimento Paste, drained and halved crosswise",Spanish Manzanilla with Pimento Paste,0.999268,1.0,1 cup,cup,0.999954,drained and halved crosswise,0.999713,Olive Bar Dip,Appetizers & Sides,"Slices, Shreds, Crumbles",0.0966003388166427,Cheese,Cream and Creamy Cheeses,0.0701423212885856,Cheese,Fresh Fruits,0.0563866645097732,Unknown
"2 tablespoons TJ’s Capers, drained",Capers,0.999023,2.0,2 tablespoons,tablespoon,0.999941,drained,0.997709,Olive Bar Dip,Appetizers & Sides,Cool Desserts,0.0962632447481155,From The Freezer,Fresh Fruits,0.0732813253998756,Unknown,Fresh,0.0583081617951393,Unknown
2 teaspoons chopped TJ’s Fresh Parsley,Fresh Parsley,0.973809,2.0,2 teaspoons,teaspoon,0.999747,chopped,0.983853,Olive Bar Dip,Appetizers & Sides,Fresh,0.6747658252716064,Unknown,Fresh Vegetables,0.0954543948173523,Unknown,"Slices, Shreds, Crumbles",0.0418446734547615,Cheese
"1 bag TJ's Organic Dried & Pitted Deglet Noor Dates, roughly chopped",Organic Dried & Pitted Deglet Noor Dates,0.983923,1.0,1 bag,bag,0.998511,roughly chopped,0.990776,Date Shake,Desserts,"Slices, Shreds, Crumbles",0.127445638179779,Cheese,Smoked or Processed,0.0772243291139602,Unknown,Dressing & Seasoning,0.0619681924581527,"Dips, Sauces & Dressings"
"5 tablespoons TJ’s Unsalted Butter, divided",Unsalted Butter,0.997317,5.0,5 tablespoons,tablespoon,0.999971,divided,0.999901,Stuffing Muffins,Appetizers & Sides,Refrigerated Dough,0.1853353530168533,Unknown,"Slices, Shreds, Crumbles",0.0898168459534645,Cheese,Fresh,0.0844857990741729,Unknown
"1 1/2 cups TJ's Organic Brown Sugar, divided",Organic Brown Sugar,0.996556,1.5,1 1/2 cups,cup,0.999949,divided,0.999574,Spiced Chai Apple Crisp,Desserts,Cream and Creamy Cheeses,0.073624387383461,Cheese,Shelf Stable Foods,0.0550610460340976,Unknown,Bakery,0.045671958476305,Unknown
"1 1/2 cups TJ's Gluten Free All Purpose Flour, divided",Gluten Free All Purpose Flour,0.999302,1.5,1 1/2 cups,cup,0.999945,divided,0.999564,Spiced Chai Apple Crisp,Desserts,Fresh,0.0736612007021904,Unknown,Cereals,0.0666338726878166,For the Pantry,Shelf Stable Foods,0.0595646500587463,Unknown
1/2 cup TJ's Organic Virgin Coconut Oil (room temperature),Organic Virgin Coconut Oil,0.99924,0.5,1/2 cups,cup,0.999946,(room temperature),0.918323,Spiced Chai Apple Crisp,Desserts,Fresh,0.1153978183865547,Unknown,Shellfish,0.111857958137989,Unknown,Cream and Creamy Cheeses,0.0611889585852623,Cheese
"1 cup (2 sticks) TJ’s Unsalted Butter, room temperature",Unsalted Butter,0.994534,1.0,1 cup,cup,0.999838,room temperature,0.998045,Chewy Salted Caramel Cookies,Desserts,Refrigerated Dough,0.1853353530168533,Unknown,"Slices, Shreds, Crumbles",0.0898168459534645,Cheese,Fresh,0.0844857990741729,Unknown
4 cups cubed TJ's French Baguette (about half of a baguette),French Baguette,0.987543,4.0,4 cups,cup,0.999701,cubed,0.975244,Charlotte's Chocolate Bread Pudding,Desserts,Appetizers,0.1077039316296577,From The Freezer,Fresh,0.074063517153263,Unknown,Yogurt,0.0445751249790191,Dairy & Eggs
"1 can TJ's Organic Black Beans, drained & rinsed",Organic Black Beans,0.998827,1.0,1 can,can,0.999481,drained & rinsed,0.98336,Southwestern Chopped Salad,Lunch,Fresh,0.1352003514766693,Unknown,Fresh Vegetables,0.1311483979225158,Unknown,Cream and Creamy Cheeses,0.0959479361772537,Cheese
"1 can TJ's Whole Kernel Corn, drained",Whole Kernel Corn,0.999225,1.0,1 can,can,0.999878,drained,0.997049,Quick Chicken Tortilla Soup,Dinner,Fresh,0.629890501499176,Unknown,"Nuts, Dried Fruits, Seeds",0.030165446922183,Snacks & Sweets,"Slices, Shreds, Crumbles",0.0290503595024347,Cheese
"1 can TJ's Organic Black Beans, drained",Organic Black Beans,0.998832,1.0,1 can,can,0.999481,drained,0.996077,Quick Chicken Tortilla Soup,Dinner,Fresh,0.1352003514766693,Unknown,Fresh Vegetables,0.1311483979225158,Unknown,Cream and Creamy Cheeses,0.0959479361772537,Cheese
"1 can TJ's Premium Chunk White Chicken, drained",Premium Chunk White Chicken,0.999571,1.0,1 can,can,0.999861,drained,0.997865,Quick Chicken Tortilla Soup,Dinner,Fresh,0.8424136638641357,Unknown,Chicken & Turkey,0.0209731087088584,"Meat, Seafood & Plant-based",Smoked or Processed,0.0085158972069621,Unknown
"1/3 cup TJ's Semi-Sweet Chocolate Chips, chopped",Semi-Sweet Chocolate Chips,0.99928,0.3333333333333333,1/3 cups,cup,0.999967,chopped,0.998847,Trailblazer Bites,Breakfast,"Chips, Crackers & Crunchy Bites",0.1664867550134658,Snacks & Sweets,Sweet Stuff,0.0693277791142463,Bakery,"Nuts, Dried Fruits, Seeds",0.0555863715708255,Snacks & Sweets
2 cups chopped TJ's Iceberg Lettuce,Iceberg Lettuce,0.997598,2.0,2 cups,cup,0.999856,chopped,0.994578,Wedge Salad Dip,Appetizers & Sides,Fresh,0.1755501180887222,Unknown,Veggies,0.1309821754693985,Fresh Fruits & Veggies,"Slices, Shreds, Crumbles",0.0779264643788337,Cheese
"3 slices of your favorite TJs Bacon, cooked & chopped",your favorite TJs Bacon,0.969165,3.0,3 slices,slices,0.998986,cooked & chopped,0.991933,Wedge Salad Dip,Appetizers & Sides,Pastas & Grains,0.2022490948438644,For the Pantry,Fresh,0.0613912716507911,Unknown,"Packaged Fish, Meat, Fruit & Veg",0.0487843677401542,For the Pantry
"2 cloves TJ's Garlic, minced",Garlic,0.989111,2.0,2 cloves,cloves,0.993554,minced,0.999365,Cheesy Chili-Garlic Dipping Oil,Appetizers & Sides,Fresh,0.2446934133768081,Unknown,Spices,0.1264908462762832,For the Pantry,Fresh Vegetables,0.0778389796614646,Unknown
"3 tablespoons plus 1 teaspoon TJ’s Extra Virgin Olive Oil, divided",Extra Virgin Olive Oil,0.999623,3.0,3 tablespoons,tablespoon,0.999042,divided,0.984163,Branzino Al Cartoccio,Dinner,Cream and Creamy Cheeses,0.2333608120679855,Cheese,Fresh,0.1142401322722435,Unknown,Refrigerated Dough,0.0842378661036491,Unknown
"1 package (10 oz.) TJ’s Organic Cherry Tomatoes, halved",Organic Cherry Tomatoes,0.990999,1.0,1 package,package,0.999627,halved,0.996352,Branzino Al Cartoccio,Dinner,Fresh Vegetables,0.2548555433750152,Unknown,Fresh,0.06899955868721,Unknown,Fresh Fruits,0.0638678297400474,Unknown
"1 loaf TJ’s Vegan Banana Bread, cut into 8 slices",Vegan Banana Bread,0.991869,1.0,1 loaf,loaf,0.993868,cut into 8 slices,0.999918,Vegan Banana Bread Waffles,Breakfast,Sliced Bread,0.5596696734428406,Bakery,Bakery,0.0917881578207016,Unknown,Refrigerated Dough,0.0273326523602008,Unknown
2 cups cooked leftover TJ's Turkey,leftover Turkey,0.99825,2.0,2 cups,cup,0.999837,cooked,0.994316,Turkey & Wild Rice Soup,Dinner,Fresh,0.6313335299491882,Unknown,Yogurt,0.0425456240773201,Dairy & Eggs,Stuffed or Assembled,0.0216460451483726,Unknown
"3 teaspoons TJ's Cuban Style Citrusy Garlic Seasoning Blend, divided",Cuban Style Citrusy Garlic Seasoning Blend,0.999753,3.0,3 teaspoons,teaspoon,0.999936,divided,0.999233,Cuban Style Roasted Pork Tenderloin,Dinner,Dressing & Seasoning,0.6955577731132507,"Dips, Sauces & Dressings",Spices,0.0879931971430778,For the Pantry,Fruits,0.027435990050435,Fresh Fruits & Veggies
"1 handful TJ's Fresh Cilantro, chopped",Fresh Cilantro,0.99377,1.0,1 handful,handful,0.999763,chopped,0.999294,Cuban Style Roasted Pork Tenderloin,Dinner,Fresh,0.958101212978363,Unknown,Veggies,0.0029177302494645,Fresh Fruits & Veggies,Fresh Vegetables,0.0026303194463253,Unknown
"1 package TJ’s Watermelon Spears or 1/4 of a TJ's Watermelon, cubed",Watermelon Spears,0.991343,1.0,1 package,package,0.99986,cubed,0.999454,Halloumi & Watermelon Balsamic Bites,Appetizers & Sides,Fresh,0.2391835153102874,Unknown,Shellfish,0.1307322680950164,Unknown,Fresh Fruits,0.0543114244937896,Unknown
"1 pound leftover cooked Corned Beef, cubed to potato size (seasonal)",leftover cooked Corned Beef,0.691141,1.0,1 pound,pound,0.999534,cubed to potato size,0.94176,Easy As Crispy Corned Beef Hash,Breakfast,Cooked or Processed,0.3604664206504822,Unknown,Fresh,0.1261644214391708,Unknown,Smoked or Processed,0.0774720460176467,Unknown
"1 block TJ's Jalapeño Jack Cheese, shredded and divided",Jalapeño Jack Cheese,0.998661,1.0,1 block,block,0.999334,shredded and divided,0.999758,Loaded Totchos,Appetizers & Sides,Cream and Creamy Cheeses,0.8025621771812439,Cheese,"Slices, Shreds, Crumbles",0.0350945107638835,Cheese,"Wedges, Wheels, Loaves, Logs",0.0195173695683479,Cheese
"1 can TJ's Organic Black Beans, drained",Organic Black Beans,0.998832,1.0,1 can,can,0.999481,drained,0.996077,Loaded Totchos,Appetizers & Sides,Fresh,0.1352003514766693,Unknown,Fresh Vegetables,0.1311483979225158,Unknown,Cream and Creamy Cheeses,0.0959479361772537,Cheese
"1 package TJ's Boneless Chicken Breasts, cut into 2"" cubes",Boneless Chicken Breasts,0.99905,1.0,1 package,package,0.999896,"cut into 2"" cubes",0.999961,Sweet and Spicy Chicken Skewers,Dinner,Fresh,0.8185184597969055,Unknown,Cream and Creamy Cheeses,0.0233980398625135,Cheese,"Slices, Shreds, Crumbles",0.0169969610869884,Cheese
"1 package TJ's Sliced Fresh Pineapple, cut into chunks",Sliced Fresh Pineapple,0.96406,1.0,1 package,package,0.999894,cut into chunks,0.999668,Sweet and Spicy Chicken Skewers,Dinner,Fresh,0.5349463224411011,Unknown,Fresh Vegetables,0.0819893926382064,Unknown,"Slices, Shreds, Crumbles",0.0692665725946426,Cheese
"6 strips TJ's Uncured Dry Rubbed Sliced Bacon, diced",Uncured Dry Rubbed Sliced Bacon,0.998958,6.0,6 strips,strips,0.99851,diced,0.999301,Gnocchi with Bacon & Brussels Sprouts,Dinner,Smoked or Processed,0.2053787857294082,Unknown,"Slices, Shreds, Crumbles",0.1685710698366165,Cheese,Fresh,0.0978909283876419,Unknown
"1/2 cup TJ's Yellow Onion, diced",Yellow Onion,0.998861,0.5,1/2 cups,cup,0.999956,diced,0.998229,Gnocchi with Bacon & Brussels Sprouts,Dinner,Fresh,0.2187245041131973,Unknown,Fresh Vegetables,0.1540579944849014,Unknown,Cream and Creamy Cheeses,0.0458050370216369,Cheese
"2 cloves TJ's Garlic, minced",Garlic,0.989111,2.0,2 cloves,cloves,0.993554,minced,0.999365,Gnocchi with Bacon & Brussels Sprouts,Dinner,Fresh,0.2446934133768081,Unknown,Spices,0.1264908462762832,For the Pantry,Fresh Vegetables,0.0778389796614646,Unknown
"1 package TJ's Brussels Sprouts, cooked according to microwave instruction then quartered",Brussels Sprouts,0.9993,1.0,1 package,package,0.999916,cooked according to microwave instruction then quartered,0.999647,Gnocchi with Bacon & Brussels Sprouts,Dinner,Fresh,0.12253899872303,Unknown,Fruits,0.1185884699225425,Fresh Fruits & Veggies,"Slices, Shreds, Crumbles",0.102709949016571,Cheese
"1 package TJ's Gnocchi, cooked according to package instructions, reserving a 1/2 cup pasta water",Gnocchi,0.990172,1.0,1 package,package,0.999751,"cooked according to package instructions, reserving a 1/2 cup pasta water",0.9927,Gnocchi with Bacon & Brussels Sprouts,Dinner,Fresh,0.1486214250326156,Unknown,Cream and Creamy Cheeses,0.0968421250581741,Cheese,"Slices, Shreds, Crumbles",0.0965226963162422,Cheese
"1 1/2 cups TJ's New Zealand Sharp Cheddar Cheese, grated",New Zealand Sharp Cheddar Cheese,0.999635,1.5,1 1/2 cups,cup,0.999966,grated,0.999722,Gnocchi with Bacon & Brussels Sprouts,Dinner,Cream and Creamy Cheeses,0.8531368374824524,Cheese,"Slices, Shreds, Crumbles",0.0300869029015302,Cheese,"Wedges, Wheels, Loaves, Logs",0.0085272435098886,Cheese
"4 cloves TJ's Garlic, minced",Garlic,0.989111,4.0,4 cloves,cloves,0.993554,minced,0.999365,Fiesta Bowl with Mexican Rice,Dinner,Fresh,0.2446934133768081,Unknown,Spices,0.1264908462762832,For the Pantry,Fresh Vegetables,0.0778389796614646,Unknown
"2 cloves TJ's Garlic, diced",Garlic,0.992659,2.0,2 cloves,cloves,0.994759,diced,0.999544,Fall Turkey Chili With Pumpkin,Dinner,Fresh,0.2446934133768081,Unknown,Spices,0.1264908462762832,For the Pantry,Fresh Vegetables,0.0778389796614646,Unknown
"1 can TJ's Organic Kidney Beans, drained",Organic Kidney Beans,0.999085,1.0,1 can,can,0.999658,drained,0.995712,Fall Turkey Chili With Pumpkin,Dinner,Fresh,0.1079912111163139,Unknown,Cream and Creamy Cheeses,0.0871878638863563,Cheese,Fresh Fruits,0.0701920539140701,Unknown
"1/2 can TJ's Whole Kernel Corn, drained",Whole Kernel Corn,0.998577,0.5,1/2 cans,cans,0.999914,drained,0.997049,Fall Turkey Chili With Pumpkin,Dinner,Fresh,0.629890501499176,Unknown,"Nuts, Dried Fruits, Seeds",0.030165446922183,Snacks & Sweets,"Slices, Shreds, Crumbles",0.0290503595024347,Cheese
"1 half gallon TJ's French Vanilla Ice Cream, softened",French Vanilla Ice Cream,0.990935,1.0,1 half gallon,half gallon,0.879429,softened,0.999126,Strawberry Dome Cake,Desserts,Cool Desserts,0.2170881479978561,From The Freezer,Salsa & Hot Sauce,0.1360801011323928,"Dips, Sauces & Dressings",Baking and Cooking,0.0386057011783123,Unknown
"1 generous cup any TJ's Vegetables you might have on hand (green/red/yellow onion, bell peppers, carrots, mushrooms, frozen peas/corn/edamame/broccoli), thawed if frozen, and chopped",broccoli,0.30363,1.0,1 generous cup,generous cup,0.894711,"thawed if frozen, and chopped",0.966624,Fridge-Foraged Fried Rice,Dinner & Lunch,Fresh,0.5649370551109314,Unknown,Cream and Creamy Cheeses,0.0530596487224102,Cheese,"Slices, Shreds, Crumbles",0.0496947169303894,Cheese
"3 or 4 cups cooked, day-old TJ's Rice",day-old Rice,0.771274,3.0,3-4 cup,cup,0.999634,cooked,0.981721,Fridge-Foraged Fried Rice,Dinner & Lunch,Fresh,0.4271900951862335,Unknown,Fresh Vegetables,0.0859737917780876,Unknown,Shellfish,0.0341652892529964,Unknown
"1 package TJ's Frozen Shelled Edamame, heated",Frozen Shelled Edamame,0.998307,1.0,1 package,package,0.999631,heated,0.992959,Edamame Energy Bowl,Lunch,Shellfish,0.5960131287574768,Unknown,"Slices, Shreds, Crumbles",0.0432628653943538,Cheese,Cool Desserts,0.0228933691978454,From The Freezer
"1 cup TJ's Red Quinoa, cooked",Red Quinoa,0.998759,1.0,1 cup,cup,0.999979,cooked,0.998078,Edamame Energy Bowl,Lunch,Fresh,0.4457519650459289,Unknown,"Slices, Shreds, Crumbles",0.0356260277330875,Cheese,Fresh Fruits,0.0319587737321853,Unknown
"2 TJ's Celery Ribs, sliced",Celery,0.948493,2.0,2 Ribs,Ribs,0.860991,sliced,0.998838,Edamame Energy Bowl,Lunch,Yogurt,0.1292772889137268,Dairy & Eggs,Fresh,0.1224491447210311,Unknown,Entrées & Center of Plate,0.0766093656420707,Fresh Prepared Foods
"1/4 cup TJ's Green Onions, chopped",Green Onions,0.999131,0.25,1/4 cups,cup,0.999958,chopped,0.998847,Edamame Energy Bowl,Lunch,Fresh Vegetables,0.5446649789810181,Unknown,Fresh,0.0738096833229065,Unknown,"Salads, Soups & Sides",0.0290767755359411,Fresh Prepared Foods
"2 medium cloves TJ's Garlic, minced (optional)",Garlic,0.961526,2.0,2 medium cloves,medium cloves,0.966407,minced,0.998631,Edamame Energy Bowl,Lunch,Fresh,0.2446934133768081,Unknown,Spices,0.1264908462762832,For the Pantry,Fresh Vegetables,0.0778389796614646,Unknown
"1 package TJ's Romaine Hearts, rinsed and chopped",Romaine Hearts,0.998348,1.0,1 package,package,0.999846,rinsed and chopped,0.999501,Classic Cobb Salad,Lunch,Fresh,0.1617368161678314,Unknown,Cream and Creamy Cheeses,0.1087167412042617,Cheese,"Slices, Shreds, Crumbles",0.0622321516275405,Cheese
"16 oz. TJ's Grape Tomatoes, rinsed and halved",Grape Tomatoes,0.997733,16.0,16 oz,ounce,0.999851,rinsed and halved,0.999642,Classic Cobb Salad,Lunch,Fresh Vegetables,0.1449223607778549,Unknown,Cream and Creamy Cheeses,0.1378309428691864,Cheese,Fresh Fruits,0.0998773500323295,Unknown
"2 cups (roughly 3 Mangoes) TJ's Mango, peeled, pitted & coarsely chopped",Mango,0.979109,2.0,2 cups,cup,0.999607,"peeled, pitted & coarsely chopped",0.977414,"Mango, Mango Frozen Cheesecake",Desserts,Fresh Fruits,0.2071321010589599,Unknown,Fresh,0.0929100662469863,Unknown,Fruits,0.0799118280410766,Fresh Fruits & Veggies
"1 cup TJ's Strawberries, quartered",Strawberries,0.996687,1.0,1 cup,cup,0.999974,quartered,0.997289,"Mango, Mango Frozen Cheesecake",Desserts,Fresh Fruits,0.133504644036293,Unknown,Fresh,0.1255398243665695,Unknown,Cream and Creamy Cheeses,0.0646862834692001,Cheese
"1 bag TJ's Organic Tuscan Kale, stems removed OR 1 bag TJ's Cruciferous Crunch",Organic Tuscan Kale,0.996105,1.0,1 bag,bag,0.998909,stems removed,0.980254,Green Goddess Pasta Salad,Appetizers & Sides,Fresh,0.3443881273269653,Unknown,Cream and Creamy Cheeses,0.0686729624867439,Cheese,"Slices, Shreds, Crumbles",0.0585368052124977,Cheese
"1/4 cup TJ's Organic Virgin Coconut Oil, melted (microwave for 30 seconds)",Organic Virgin Coconut Oil,0.999242,0.25,1/4 cups,cup,0.999939,melted,0.997722,Strawberry Lemon Muffins,Breakfast,Fresh,0.1153978183865547,Unknown,Shellfish,0.111857958137989,Unknown,Cream and Creamy Cheeses,0.0611889585852623,Cheese
1 cup diced TJ's Strawberries,Strawberries,0.988132,1.0,1 cup,cup,0.99936,diced,0.984927,Strawberry Lemon Muffins,Breakfast,Fresh Fruits,0.133504644036293,Unknown,Fresh,0.1255398243665695,Unknown,Cream and Creamy Cheeses,0.0646862834692001,Cheese
"2 sticks TJ's Unsalted Butter, softened to room temperature",Unsalted Butter,0.995464,2.0,2 sticks,sticks,0.999661,softened to room temperature,0.999985,Pumpkin Choc-Oat Chip Muffins with Pumpkin Butter-Butter,Breakfast,Refrigerated Dough,0.1853353530168533,Unknown,"Slices, Shreds, Crumbles",0.0898168459534645,Cheese,Fresh,0.0844857990741729,Unknown
"1 package TJ's Unexpected Cheddar, broken into chunks",Unexpected Cheddar,0.999078,1.0,1 package,package,0.99992,broken into chunks,0.999246,Unexpected Cheddar Cheese Ball,Appetizers & Sides,Fresh,0.0692733004689216,Unknown,"BBQ, Pasta, Simmer",0.064383253455162,"Dips, Sauces & Dressings",Cream and Creamy Cheeses,0.0577364563941955,Cheese
"1/2 package TJ's Sweet & Spicy Pecans, chopped",Sweet & Spicy Pecans,0.965194,0.5,1/2 packages,packages,0.999857,chopped,0.998284,Unexpected Cheddar Cheese Ball,Appetizers & Sides,"Nuts, Dried Fruits, Seeds",0.2055635899305343,Snacks & Sweets,"Bars, Jerky &… Surprises",0.0574295595288276,Snacks & Sweets,Fruits,0.0557768046855926,Fresh Fruits & Veggies
"1 package TJ's Anchovy Fillets in Olive Oil, drained and diced",Anchovy Fillets in Olive Oil,0.998893,1.0,1 package,package,0.999867,drained and diced,0.999591,Umami Dressing,Appetizers & Sides,Refrigerated Dough,0.0924445688724517,Unknown,Oils & Vinegars,0.0513085983693599,For the Pantry,Cream and Creamy Cheeses,0.0467572174966335,Cheese
"2 cloves TJ's Peeled Garlic (or more, if you like)",Garlic,0.481727,2.0,2 cloves,cloves,0.938486,TJ's Peeled,0.446244,Teeny Tiny Potatoes with Sweet Roasted Garlic,Appetizers & Sides,Fresh,0.2446934133768081,Unknown,Spices,0.1264908462762832,For the Pantry,Fresh Vegetables,0.0778389796614646,Unknown
1 teaspoon chopped TJ's Chives (optional),Chives,0.986974,1.0,1 teaspoon,teaspoon,0.99925,chopped,0.989219,Sriracha BBQ Meatballs,Appetizers & Sides,Fresh,0.1251170039176941,Unknown,"Slices, Shreds, Crumbles",0.0920571014285087,Cheese,Fresh Fruits,0.0659191608428955,Unknown
"1/2 bag TJ’s Organic Tuscan Kale, chopped fine",Organic Tuscan Kale,0.995958,0.5,1/2 bags,bag,0.998915,chopped fine,0.936625,Spring Lentil Salad,Appetizers & Sides,Fresh,0.3443881273269653,Unknown,Cream and Creamy Cheeses,0.0686729624867439,Cheese,"Slices, Shreds, Crumbles",0.0585368052124977,Cheese
1 cup quartered TJ’s Baby Heirloom Tomatoes,Baby Heirloom Tomatoes,0.942301,1.0,1 cup,cup,0.999898,quartered,0.766785,Spring Lentil Salad,Appetizers & Sides,Fresh,0.3204846680164337,Unknown,"Slices, Shreds, Crumbles",0.0839651376008987,Cheese,Fresh Vegetables,0.0434498526155948,Unknown
"1 bag (3 lbs.) TJ's Organic Sweet Potatoes, peeled and sliced into thin planks",Organic Sweet Potatoes,0.995633,1.0,1 bag,bag,0.999197,peeled and sliced into thin planks,0.999843,Spinach & Artichoke Sweet Potato Gratin,Appetizers & Sides,Fresh Vegetables,0.5971164107322693,Unknown,Fresh,0.0406708680093288,Unknown,Fresh Fruits,0.0241408832371234,Unknown
"4 packages TJ's Frozen Spinach & Artichoke Dip, microwaved according to directions",Frozen Spinach & Artichoke Dip,0.986678,4.0,4 packages,packages,0.999628,microwaved according to directions,0.990298,Spinach & Artichoke Sweet Potato Gratin,Appetizers & Sides,"BBQ, Pasta, Simmer",0.2997485101222992,"Dips, Sauces & Dressings",Salsa & Hot Sauce,0.0648941993713378,"Dips, Sauces & Dressings",Entrées & Center of Plate,0.0397673174738884,Fresh Prepared Foods
"2 cups TJ's Quattro Formaggio Shredded Cheese Blend, divided",Quattro Formaggio Shredded Cheese Blend,0.999441,2.0,2 cups,cup,0.999957,divided,0.999253,Spinach & Artichoke Sweet Potato Gratin,Appetizers & Sides,Cream and Creamy Cheeses,0.7899777889251709,Cheese,"Slices, Shreds, Crumbles",0.053848423063755,Cheese,"Wedges, Wheels, Loaves, Logs",0.01182821393013,Cheese
"1/2 package TJ's Uncured Apple Smoked Bacon (or your favorite TJ's Bacon), chopped (optional)",Uncured Apple Smoked Bacon,0.999334,0.5,1/2 packages,packages,0.999854,chopped,0.998284,Smoky Sriracha Baked Beans,Appetizers & Sides,Smoked or Processed,0.5946135520935059,Unknown,Fresh,0.0587386600673198,Unknown,Refrigerated Dough,0.0292118117213249,Unknown
"5 Tablespoons Spanish Organic EVOO, divided",Spanish Organic EVOO,0.998357,5.0,5 Tablespoons,Tablespoons,0.999875,divided,0.999763,Smokey Chimichurri Sauce,Appetizers & Sides,Cream and Creamy Cheeses,0.0830651447176933,Cheese,Fresh Fruits,0.0588627867400646,Unknown,"Slices, Shreds, Crumbles",0.0494067221879959,Cheese
